City_ID,City,Country,current Description,Max Temp,Lat,Lng,Hotel Name
253,Itaituba,BR,overcast clouds,75.16,-4.2761,-55.9836,Hotel Campos
260,Kokopo,PG,broken clouds,83.82,-4.352,152.2633,Kokopo Beach Bungalow Resort
261,Seoul,KR,broken clouds,88.99,37.5683,126.9778,LOTTE HOTEL SEOUL
264,Celestun,MX,scattered clouds,79.07,20.8667,-90.4,Posada Lilia
269,Ambon,ID,moderate rain,77.14,-3.6954,128.1814,Swiss-Belhotel Ambon
270,Clifton,US,broken clouds,75.42,40.8584,-74.1638,Quality Urban Housing
281,Acajutla,SV,moderate rain,79.18,13.5928,-89.8275,Laureles
283,Karwar,IN,overcast clouds,79.14,14.8,74.1333,Netalco Connects
286,Khandbari,NP,few clouds,83.43,27.3747,87.2039,Sainik Hotel And Lodge
287,Bengkulu,ID,overcast clouds,84.02,-3.8004,102.2655,Grage Hotel Bengkulu
292,Chumphon,TH,light rain,79.97,10.3333,98.8333,สกาน จ๋า.
294,Wanning,CN,broken clouds,87.64,18.8003,110.3967,Paradise Hotel
296,Gouyave,GD,overcast clouds,79.92,12.1646,-61.7296,Rumboat Retreat
300,Alofi,NU,scattered clouds,76.89,-19.0595,-169.9187,Taloa Heights
301,Nawa,IN,light rain,77.77,27.0167,75.0,"Sambharia Bhawan,Kuchaman Road,Nawa City"
317,Hobyo,SO,broken clouds,78.24,5.3505,48.5268,Halane Hotel and Restaurent
322,Hami,CN,overcast clouds,83.8,42.8,93.45,Laoyutang Resort
324,Bartica,GY,overcast clouds,75.52,6.4,-58.6167,Sloth Island Nature Resort
327,Labuhan,ID,overcast clouds,87.13,-6.8844,112.2051,DoubleFAG
329,Terme,TR,few clouds,77.22,41.2092,36.9739,OTEL GÜVEN TERME
330,Coahuayana,MX,overcast clouds,78.42,18.7333,-103.6833,El rranchito michuacan de ocampos
342,Starokozache,UA,few clouds,75.67,46.3372,29.9853,
343,Cockburn Town,TC,clear sky,83.03,21.4612,-71.1419,Osprey Beach Hotel
344,Kerema,PG,few clouds,80.64,-7.9631,145.7785,Frena Lodge
349,Anahuac,MX,scattered clouds,85.57,27.2333,-100.15,HOTEL SAN FELIPE
351,Nanakuli,US,clear sky,81.99,21.3906,-158.1547,Camp Pālehua
354,Isangel,VU,few clouds,76.51,-19.55,169.2667,Tanna Lodge
355,Feodosiya,UA,clear sky,78.1,45.0333,35.3833,Alye Parusa Hotel
357,Puerto Escondido,MX,few clouds,79.48,15.85,-97.0667,Aldea del Bazar Hotel and Spa
369,Ixtapa,MX,overcast clouds,75.67,20.7,-105.2,hotel la terminal
371,Harper,LR,overcast clouds,75.16,4.375,-7.7169,Screensaver
373,Kavieng,PG,scattered clouds,84.09,-2.5744,150.7967,Nusa Island Retreat
375,Bodden Town,KY,broken clouds,83.93,19.2833,-81.25,Will T Place
376,Castanos,MX,broken clouds,80.35,26.7833,-101.4167,Bomberos voluntarios castaños coahuila
379,Andijon,UZ,few clouds,78.08,40.7821,72.3442,"Hotel ""Bog'ishamol"""
383,Kununurra,AU,clear sky,87.78,-15.7667,128.7333,Hotel Kununurra
390,Pearl,US,overcast clouds,75.24,32.2746,-90.132,Hilton Garden Inn Jackson Pearl
395,Yangjiang,CN,overcast clouds,87.51,21.85,111.9667,HUALUXE Yangjiang City Center
396,Carnarvon,AU,clear sky,78.01,-24.8667,113.6333,Hospitality Carnarvon
398,Panalingaan,PH,overcast clouds,84.04,8.7842,117.4231,I Love Panalingaan View Deck
399,Tessalit,ML,clear sky,85.91,20.1986,1.0114,
409,Turayf,SA,clear sky,78.55,31.6725,38.6637,Turaif
410,Choa Saidan Shah,PK,clear sky,87.76,32.7201,72.9849,Office RFO RM
411,Muncar,ID,overcast clouds,80.82,-8.4333,114.3333,Zaky Homestay
414,Tabas,IR,clear sky,83.66,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
416,Komsomolskiy,UZ,scattered clouds,75.92,40.4272,71.7189,Ikathouse
420,Winnemucca,US,clear sky,80.65,40.973,-117.7357,Winners Inn Casino
430,Acarau,BR,overcast clouds,76.44,-2.8856,-40.12,castelo pizzaria
432,Vila Do Maio,CV,overcast clouds,80.31,15.1333,-23.2167,Hotel Marilu
433,Simpang,ID,overcast clouds,82.54,-1.2667,104.0833,
435,Sao Filipe,CV,light rain,78.58,14.8961,-24.4956,Hotel Xaguate
