City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Saint-Philippe,-21.3585,55.7679,72.99,72,0,4.14,RE,2022-08-02 05:02:36
68,Praia Da Vitoria,38.7333,-27.0667,71.76,90,9,6.73,PT,2022-08-02 05:02:36
69,Veraval,20.9,70.3667,84.33,74,96,13.29,IN,2022-08-02 04:59:00
70,Ilulissat,69.2167,-51.1,48.22,76,100,9.22,GL,2022-08-02 05:02:37
71,Qasigiannguit,68.8193,-51.1922,48.45,79,60,6.76,GL,2022-08-02 05:02:38
72,Rawson,-43.3002,-65.1023,42.19,58,15,8.5,AR,2022-08-02 05:02:38
73,Santa Marta De Tormes,40.9506,-5.6272,68.99,53,0,1.14,ES,2022-08-02 05:02:38
74,Chokurdakh,70.6333,147.9167,57.56,63,92,4.94,RU,2022-08-02 05:02:39
75,Cockburn Town,21.4612,-71.1419,82.72,74,25,9.33,TC,2022-08-02 05:02:39
76,Upata,8.0086,-62.3989,73.18,97,100,3.04,VE,2022-08-02 05:02:40
77,Bangassou,4.7413,22.8184,67.6,97,98,0.96,CF,2022-08-02 05:02:40
78,Talnakh,69.4865,88.3972,51.21,55,14,16.87,RU,2022-08-02 05:02:40
79,Pontes E Lacerda,-15.2261,-59.3353,70.11,51,21,1.57,BR,2022-08-02 05:02:41
80,Norman Wells,65.282,-126.8329,62.64,56,93,8.43,CA,2022-08-02 05:02:41
81,Palmerston,-12.486,130.9833,90.03,61,20,10.36,AU,2022-08-02 05:02:42
82,Tasiilaq,65.6145,-37.6368,42.96,67,3,4.41,GL,2022-08-02 05:02:42
83,Yulara,-25.2406,130.9889,80.44,17,40,27.63,AU,2022-08-02 05:02:43
84,Arraial Do Cabo,-22.9661,-42.0278,70.05,90,7,18.99,BR,2022-08-02 05:01:31
85,Dingle,10.9995,122.6711,87.4,68,98,6.26,PH,2022-08-02 05:02:43
86,Kitimat,54.0524,-128.6534,63.91,57,96,2.48,CA,2022-08-02 05:00:28
87,Krapivinskiy,54.9992,86.8133,58.35,90,100,6.6,RU,2022-08-02 05:02:44
88,Jamestown,42.097,-79.2353,70.02,75,75,14.97,US,2022-08-02 04:59:51
89,Suntar,62.1444,117.6319,66.99,85,100,6.2,RU,2022-08-02 05:02:44
90,Margate,51.3813,1.3862,64.31,91,100,4.0,GB,2022-08-02 05:02:45
91,Cidreira,-30.1811,-50.2056,56.05,88,70,2.17,BR,2022-08-02 05:02:45
92,Sao Filipe,14.8961,-24.4956,75.56,86,61,6.69,CV,2022-08-02 05:02:46
93,Sao Joao Da Barra,-21.6403,-41.0511,70.25,90,16,13.15,BR,2022-08-02 05:02:46
94,Macroom,51.9,-8.95,62.67,96,100,14.05,IE,2022-08-02 05:01:49
95,Namibe,-15.1961,12.1522,54.37,70,84,6.08,AO,2022-08-02 05:02:47
96,Ormara,25.2088,64.6357,82.2,84,86,9.19,PK,2022-08-02 05:02:12
97,Petlad,22.4667,72.8,84.33,59,36,9.82,IN,2022-08-02 05:03:47
98,Cherskiy,68.75,161.3,61.83,77,100,11.5,RU,2022-08-02 05:03:48
99,Ducheng,23.2373,111.5317,97.48,42,13,5.03,CN,2022-08-02 05:03:48
100,Prainha,-1.8,-53.48,71.98,96,18,3.6,BR,2022-08-02 05:03:49
101,Port Alfred,-33.5906,26.891,55.17,60,48,7.27,ZA,2022-08-02 05:03:49
102,Elko,41.0002,-115.5012,67.23,67,100,1.99,US,2022-08-02 05:00:16
103,Clyde River,70.4692,-68.5914,36.54,94,100,5.73,CA,2022-08-02 05:03:18
104,Khatanga,71.9667,102.5,49.98,63,100,9.44,RU,2022-08-02 05:03:50
105,Mercedes,-34.6515,-59.4307,49.78,91,100,6.76,AR,2022-08-02 05:03:50
106,Deputatskiy,69.3,139.9,47.75,95,100,3.13,RU,2022-08-02 05:03:51
107,Hamilton,39.1834,-84.5333,78.24,91,0,9.22,US,2022-08-02 05:03:51
108,Port Elizabeth,-33.918,25.5701,53.6,57,87,6.11,ZA,2022-08-02 05:03:52
109,Tessalit,20.1986,1.0114,87.39,42,7,21.07,ML,2022-08-02 05:03:52
110,Aksu,41.1231,80.2644,81.01,38,5,2.59,CN,2022-08-02 05:03:53
111,Ewo,-0.8725,14.8206,73.96,56,93,6.04,CG,2022-08-02 05:03:53
112,Klaksvik,62.2266,-6.589,50.92,94,100,11.07,FO,2022-08-02 05:03:54
